tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
NCK1	RNF216		FYN	IFNG	NFATC1	HIST1H1A	OGN	METTL7A	COX5A	IL2	CBFB	WAS	PSMB3	STX11	PRR5L	ID2	SOS1	IRF7	LEF1	PGK1	LAIR2	ATP8B4	RASGRP2	IFITM2	AC069363.1	MXD1		CCL4L2	CCL4L2		CCND2	EMP3	C12orf75	FTL	CAPN5	FBP2		CCNB1	CDK4	CAPN5	CFH	ATP6V0B	NQO1									IFNGR1			
NCK2	ANXA1		GABRA4	IGFBP1	MYL6B	CENPK	CST7	CCR8	MIR4632	IL3	HNRNPM	CSK	TP53	PMCH	SNED1	ABI3	PLP2	OAS2	YBX3	VPS13C	LINC00536	TNFRSF9	CD300A	SELK	RBPJ	FTL		RGS2	RGS2		SEC61B	ARPC2	CD160	YWHAQ	CASP6	G6PC		RBL1	CDKN1B	CASP6	CIITA	ATP6V0C	OXSR1									IFNGR2			
NHEJ1	CKS2		GADD45B	IGFBP2	BCAT1	HIST1H2AK	TRGV2	CABLES1	TNFRSF1B	LTA	ARF5	PIK3R2	CTLA4	PDE4A	C16orf45	TXK	ADPRH	PARP14	CD84	CLNK	GNLY	CSF1	ICAM2	S100A10	NKG7	UBB		NAB1	NAB1		POMP	CCL4	CCL4	HLA-DPA1	CD44	G6PC2		TSPYL4	CDKN2C	CD44	CMKLR1	ATP6V0E1	PDLIM1									IRF1			
NLRC3	RYK		GCH1	IGFBP3	CTLA4	HIST1H1B	KLRK1	LTA	SAT1	MIR155HG	DYNLL1	PSMB9	ICOS	PTTG1	AKAP12	CD300A	HLF	CMPK2	MYC	IL12RB2	C5orf28	RAB27A	DKK3	PABPC1	HLA-DPB1	BAG3		ID3	ID3		CYCS	CYBA	KLRB1	GAPDH	CDK1	GALM		EGR1	CDKN3	CDK1	CMPK2	ATP6V1C1	PFKP									IRF2			
PTPRC	ADORA2A		GGA2	IGFBP4	KCNK5	HIST1H4M	METRN	LAIR2	NAMPT	MTHFD2	RPA3	NCK1	IFNG	UCK2	LINC00426	NCALD	FAM129A	PARP9	SELL	MTRNR2L10	KLRF1	DAPK2	IL15	LMNA	ENTPD1	CHORDC1		CCR5	CCR5		PGAM1	ASCL2	CCL3	PRF1	CENPA	GAPDH		CDK2	CENPA	CENPA	CSF2RB	ATP6V1D	PPP2R4									IRF3			
SART1	ERRFI1		HEBP2	IGFBP5	CTTN	HIST1H4F	EFNA5	ADAT2		NAMPT	RSL1D1	PLCG1	SYNGR2	HLA-DMA	OTUB1	GZMM	C4orf32	GBP1	MUC2	MTRNR2L6	SH3BP5	FAM3C	CXCL16	LEPROTL1	HLA-DRB1	UBC		GOLIM4	GOLIM4		CCT2	CLIC1	CD99	CYBA	CHPF	GCK		MYC	CENPE	CHPF	CXCL10	ATP6V1E1	PRDX1									IRF4			
SFTPD	RGS2		HIF1AN	IGFBP6	LAG3	HIST1H2BC	PRSS23	RP1-207H1.3		NCL	MRPL3	PSMC3	PSMD1	PTPLA	SLC25A33	MTUS1	TSPO	OASL	MUC5AC	TMEM200A	DUSP2	ARHGAP11A	EOMES	SAT1	GZMA	DNAJB4		ACP5	ACP5		IMPDH2	CTSW	CYBA	DSTN	CHPF2	GPI		CCNE1	CENPF	CHPF2	CXCL11	ATP6V1F	PRDX2									IRF5			
SIRPG	MT2		HLF	IGFBP7	ICOS	HIST1H3A	GPR114	SUOX		NDFIP2	ACTN4	PSMB7	CD44	IL2RB	AFAP1	AEBP1	ACTN4	DDX60	CCL11	MTRNR2L1	CADM1	RRM2	CACNA2D2	TOB1	RGS1	CACYBP		HLA-DRA	HLA-DRA		VDAC1	MYO1F	HLA-DPB1	CTSW	CHST1	HK1		CDKN1A	CHAF1A	CHST1	CXCL9	ATP6V1G1	PRDX4									IRF6			
SIT1	SH3BGRL		HSD17B6	IGSF3	THADA	TRIP13	GNLY	3-Mar		NFKBIA	PDAP1	PIK3CA	HSP90AA1	DOK2	KRT1	GFI1	PDCD5	PSMB9	MRAS	GSG2	USP28	ETV1	LGMN	FUS	RP11-347P5.1	HSPH1		FCRL3	FCRL3		NOL7	SPON2	HLA-DQA1	EFHD2	CHST12	HK2		CEBPG	CHEK1	CHST12	DDX58	ATP6V1H	PRDX6									IRF7			
SLA2	RAF1		HSPA4L	ING1	LHFPL2	CENPH	GZMH	GCNT1		NFKBID	ZNF593	PSMD13	PSMA1	NUSAP1	SHMT2	IGF1R	JAKMIP1	IFIH1	GZMA	ANKRD28	ICAM2	CD109	FCRL3	ODF2L	CLEC2B	HSPA8		OSBPL3	OSBPL3		DDX21	LAIR2	H3F3B	HLA-DRB1	CHST2	HK3		CCND1	CHMP1A	CHST2	DDX60	BAX	PRNP									IRF8			
