tcell_activation_GO.0042110	cd4tcell_exhaustion_crawford	tcell_costimulation_chen	cell_anergy_safford	cell_senescence_fridman	tfh_signature_locci	cell_cycling_best	cell_cytotoxicity_patil	treg_signature_simone	tfr_signature_guo	tcell_activation_flu	cd8_activation_covid19	tcr_signaling_RHSA202403	tcell_interleukin_seumois	treg_signature_schmiedle	th2_signature0_arlehamn	th1_signature1_arlehamn	th17_signature2_arlehamndan	type1n2_interferon_broadreact	th2_il9_micosse	trm_lung_clarke	nontrm_lung_clarke	trm_tumor_clarke	nontrm_tumor_clarke	cluster5_sctrm_clarke	cluster2_sctrm_clarke	cluster3_sctrm_clarke	cluster4_sctrm_clarke	dixhaust_consensus1_vj	dixhaust_consensus2_vj	tcell_cytotoxicity_guo	tcell_virusresponse_fuchs	temra_signature1_pereira	temra_signature2_pereira	temra_signature6_pereira	hallmarkglycolisis_signature_gsea	glycolysisgluconeo_signature_kegggsea	early_eff_late_mem_v_key_best	g0n1_signature_dolatabadi	hallmark_g2m_checkpoint	hallmark_glycolysis	hallmark_interferon_gamma_response	hallmark_oxidative_phosphorylation	hallmark_reactive_oxigen_species	initial_cytokine_or_eff_resp_i_key_best	late_eff_or_mem_x_key_best	late_mem_specific_best	mem_precursor_vii_key_best	mem_specific_6_best	naive_late_mem_iv_key_best	naive_or_late_eff_or_mem_viii_key_best	naive_tcm_tem_eff	reactome_interferon_gamma_signaling_biw	short_term_eff_mem_vi_key_best	short_term_eff_or_mem_ix_key_best	st_ifng_biw
					CDT1	H2AFX	TGFBR1				GNLY		NFKB2	HNRNPA1P21	IL5RA			HLA-DQA2		TADA2B	NMRAL1																																		
					LOC399942	D030028M11RIK	HOPX				ACTG1		PIK3R5	HOXB7	ASTL			HLA-DRB3		STX3	DDX49																																		
					GFI1	WDR51A	PTPN18				NFKBIA		MEF2A	HS3ST3A1	KLHL3			HLA-DQB2		JMY	APMAP																																		
					CDC2	SPC24	CTSC				BCL2L11		RABGAP1L	IGHV1OR15-3	LOC100129034			HLA-DRB4		BTBD7	SPSB3																																		
					ARHGAP10	ZWILCH	PSTPIP2				IMPDH2		RPS6KA3	IL17REL	LPAR5			PTAFR		RPS2	RANBP3																																		
					PRKCZ	FANCB	JAKMIP1				C1QBP		PTPN18	KCNMB1	C14orf132			CIITA		ARID3B	LOC102606465																																		
					IL6R	MBNL3	GLB1L2				TUBA1C		PTPN1	KIAA0101	AK5			TRIM10		MXD4	HEXA																																		
					TIMP2	POLA1	SSBP3				MAPKAPK3		HOPX	KIAA1598	VANGL1			TRIM29		NCF4	FRY																																		
					LTA	ERCC6L	ERMN				TUBB		CISH	KIF15	GRAPL			TRIM48		SARDH	BID																																		
					KPNA2	NSBP1	CARNS1				HSP90AB1		IKBKB	KIF18B	ASAP3			TRIM2		GOLGA8B	SLAMF7																																		
					PPP2R5C		RP11-160H22.5				MTHFD2		LMNB1	KIF23	GCET2			TRIM45		ETV1	GPX3																																		
					HS.547738		FANCL				JAKMIP1		PSME1	KIF4A	HVCN1			TRIM17		TNFSF14	RSU1																																		
					LOC729086		CTB-58E17.1				HAVCR2		SOS1	KIFC1	CACNA1I			TRIM3		ATP10D	STX11																																		
					PPP1R16B		TMCC3				NFAT5		VRK3	LIN7A	MDS2			TRIM6		TTN	CEP78																																		
					VWA5A		ABCB10				ARPC5L		TYK2	LINC00312	SLC14A1			TRIM31		TRAF3IP2	SERGEF																																		
					HS.538259		ZFYVE26				PDE4A		ANXA2	LINC00427	ASPM			MID1		AGAP2	KLHDC3																																		
					FAM160B1		SMKR1				ACTN1		IL6R	LINC00884	PLXDC1			TRIM34		INPP5F	MCU																																		
					TMEM64		MSC				SDF4		TTC39B	LINC00885	ALS2CL			VCAM1		PTMS	ZGPAT																																		
					MBOAT1		DLEU2				FEZ1		GLIPR2	LRRC2	CTSL1			NCAM1		ATF4	BIN1																																		
					FAM134B		PLEKHG3				BANF1		IFNGR1	MACC1	SDK2			GBP6		ICAM1	FBXL15																																		
					TP53INP1		AC104655.3				STIP1		FLT3LG	MCM10	C1orf95			IRF6		GNAI2	CMKLR1																																		
					RYR1		EOMES				CCT5		INPPL1	MICD	DIP2C			BANK1		RFX7	PROS1																																		
					AKAP13		HAVCR2				RAMP1		TIAM1	MIR4435-1HG	SRGAP2P2			C1R		AFAP1L2	UBAP2L																																		
					PCNA		LITAF				SHMT2		MXD1	MIR4435-2	ATP1A3			CCL2		ZNF43	ILF2																																		
					HIST1H2BD		KLRC1				PRDX1		CCNE1	MKI67	EDN1			CCL7		STT3B	CCDC137																																		
					LOC92755		DTHD1				PRMT1		ALOX5	MND1	FGFR2			CD40		PRAF2	COMMD1																																		
					HES4		KIR2DL3				C9orf16		LRIG1	MYBL2	COL9A2			CFB		SOS1	TNFRSF4																																		
					NAP1L4		ZBTB32				ANP32E		ENO3	MYOF	EPHA1			CMKLR1		CLU	ERBB2																																		
					PLCH2		APOBEC3H				MYO1G		CD79B	NEK2	LOC254100			CSF2RB		DENND1B	PTGDS																																		
					GAPDH		TMEM155				LYST		NOD1	NTNG2	LOC100128420			CXCL9		ECT2	GZMM																																		
					HECW2		HLA-DRB6				HOPX		CSF2RB	OGN	LOC100506866			FPR1		CTDNEP1	UBE2E2																																		
					TRIB2		SERPINF1				LGALS1		HIPK2	PBK	CIT			IDO1		ATP1B1	RMDN1																																		
					SAT1		PTPN12				CMTM6		ZEB1	PCDH1	NRADDP			IL6		UBR4	CDC42SE1																																		
					SLC29A1		JAZF1				UBE2F		P2RX4	PGBD4P1	ZNF434			KLRK1		TGFB1	IPP																																		
					ZFP91		CXCR2				TUBA1B		XBP1	PLS3	FAM13A-AS1			43525		ULK2	CDKN2D																																		
					RACGAP1		PTPRJ				PKM		UBA52	PNMA5	FILIP1L			METTL7B		NR3C1	KIR3DX1																																		
					MCM2		LYZ				RBPJ		PSMB9	POLQ	OBFC2A			PLA2G4A		SLC27A2	OXLD1																																		
					SFXN1		LMO2				TPM4		IL4R	PPP1R26-AS1	GOLGA7B			PSMA2		MKI67	WDR37																																		
					IL21		NME8				ATP5G1		GATA3	PRR11	LOC283174			SELP		LSR	PPOX																																		
							KIF15				CD82		TIMP1	PSD3	PAR5			SERPING1		DPP4	ZNF557																																		
							KIR3DL2				REL		SNX14	PTGS1	C6orf25			SSPN		AHSA2	CYP2U1																																		
							RAB37				NHP2		MAPK7	RAB31	LOC100505746			TNFAIP2		ZDHHC11	TFPT																																		
							ATG4D				SNHG15		IL32	RN7SL144P	TMEM198B			TNFAIP6		ZNF10	CST3																																		
							SERTAD1				IVNS1ABP		PELI3	RN7SL334P	PYGM			IFNA16		FAM208A	CASP1																																		
							CCDC102A				AD000671.6		VIM	RN7SL399P				IFNA1		MTMR9	TARS2																																		
							ABHD17C				FABP5		IL16	RNU6-548P				IFNA21		KIAA0101	IGSF6																																		
							SPN				IGFLR1		IKBKG	RP11-1029J19.4				IFNA4		MMP25	CSRP2BP																																		
							MAP2K2				TNFRSF1B		CCL5	RP11-1029J19.5				IFNA7		XPR1	PASK																																		
							MYO1F				ID2		PTPN12	RP11-180M15.3				IFNA8		ICOS	MKKS																																		
							TOX				DUSP4		DHRS3	RP11-181E10.3				IFNA10		INPP4A	FAM46A																																		
							IGF2R				MFSD10		SELL	RP11-214O1.2				IFNA5		DFNB31	ITFG3																																		
							COL6A2				PARK7		SOS2	RP11-215G15.5				IFNA2		ANKDD1A	DLG5																																		
							IL8				GADD45B		SOCS3	RP11-25K19.1				IFNA14		PTPRJ	SAAL1																																		
							SYTL2				SOCS2		CEBPD	RP11-265N7.2				IFNA17		DST	TATDN3																																		
							AGTRAP				GZMH		BCL6	RP11-275I4.2				IFNA6		SMIM3	LOC100996447																																		
							ASL				NDFIP2		PIM1	RP11-350N15.4				IFNB1		MARK2	NIFK-AS1																																		
							CAMK2N1				LAIR2		PTK2B	RP11-356I2.1						PIGL	C11orf21																																		
							RRBP1				BHLHE40		ITGB2	RP11-367G6.3						CXorf23	TULP4																																		
							B3GALT6				RGS16		MCL1	RP11-377G16.2						CREM	LPAR5																																		
							MTERFD3				ATP1B3		SLC2A3	RP11-390B4.3						ZNF48	PRMT5																																		
							SESN2				AC017002.1		PIK3CD	RP11-395B7.4						HIATL2	DMKN																																		
							ENPP4				UCP2		STAT2	RP11-434D9.2						TNFRSF10A	ERLIN1																																		
							TP53I11				HSPB1		ADAM19	RP11-466P24.6						PAG1	ZNF689																																		
							FAM120C				CD97		IGF1R	RP11-467L13.5						MELK	UQCC3																																		
							MRPL10				WARS		GPX4	RP11-525G13.2						RCOR1	ZNF587B																																		
							ATMIN				GNPTAB		IL15	RP11-546J1.1						HERC1	ENPP5																																		
							SCCPDH				PHLDA1		HMGB1	RP11-54F2.1						UBE2S	MRC1																																		
							OGFRL1				CCND2		AHNAK	RP11-563N4.1						TRA2B	HDAC6																																		
							FOSL2				IFNG		PRKCH	RP11-586D19.1						CCAT1	CEP63																																		
							ADRB1				CCL4		CAPN3	RP11-62C7.2						CDKN1B	SYNE1																																		
							C9orf142				CISH		IRAK4	RP11-672A2.4						CKS2	SVIL																																		
							PDGFRB				GZMB		ABCB1	RP11-803D5.4						IL4R	NME4																																		
							HENMT1				BCL2L1		JAK3	RP11-876N24.4						ANGPT2	AGAP6																																		
							RHEBL1				CRTAM		SOCS1	RP11-91K8.4						MED14	DDA1																																		
							ADCY4				LTA		CD4	RP13-1016M1.2						AHI1	ARFRP1																																		
							PTPRM				CCL3		MAP3K3	RP3-449O17.1						SH3GLB2	PDK2																																		
							CAV1				TNFRSF4		CST7	RP4-655J12.4						ARHGAP26	FAM216A																																		
							CAPNS1				IL2RA		RALA	RP4-794H19.4						HIF1A	VAMP5																																		
							PRKCE				TNFRSF18		LTB	RPL32P1						MYO9B	ZNF555																																		
							AC067945.4				MIR155HG		TGFB1	RRM2						PTAR1	CCDC28B																																		
							STRN				TNFRSF9		SMAD3	RYR1						EXOC6	DERA																																		
							MYO6						JUNB	SAPCD2						LOC101927027	TSPYL2																																		
							VCL						EOMES	SEC13P1						ARFGEF2	PKIG																																		
							RAB11FIP4						IL11RA	SEMA3G						MCM3AP	C1orf35																																		
							ITPRIPL1						PTGER2	3-Sep						SFPQ	CISD3																																		
							PHC2						SIGIRR	SKA1						ARID1A	SEC24C																																		
							APLP2						IL10RA	SKA3						ZNF280C	VIPR1																																		
							ID2						ITGB1	SLC1A1						MAP2K4	DPH6																																		
							ZBTB2						IL20RA	SLC22A13						TUBB	EHD1																																		
							AC009495.2						S100B	SPC24						BBS5	PSPH																																		
							RP11-627G23.1						SAA1	SRGAP3						GDAP2	MUS81																																		
							GLUL						NOS2	ST8SIA6						AHR	HKR1																																		
							ITGAL						IL9R	STRIP2						MCOLN2	TMEM187																																		
							EIF4G3						IL18	TBC1D27						XYLT1	CLK3																																		
							CCDC112						CCR1	TBX20						TGFBR1	ETFA																																		
							HLA-DMA						MAP2K6	TEX14						SNHG7	RDH13																																		
							CPT1A						IL13RA1	TMEM108						PPIL4	MTERF1																																		
							CD63						CCL19	TNFRSF13B							CNP																																		
							RAPGEF1						CCL3L1	TNFRSF19							RAD9A																																		
							FAM3C						CXCL1	TOR4A							DAXX																																		
							RP11-66N11.8						CCL2	TRIM71							LOC100996286																																		
							TRBV6-5						IL3RA	TROAP							TMEM237																																		
							DUS1L						CSF2RA	TTYH3							CPT2																																		
							PAM						LYN	UBE2C							ABT1																																		
							ATP2B4						GAB2	VANGL1							TXK																																		
							PZP						HNRNPDL	WSCD2							LRRC45																																		
							NPRL2						CNTFR	XXYLT1-AS2							PLEKHA1																																		
							CISD3						IL33	XYLB							TNFRSF9																																		
							PLEKHO2						TNFRSF8	ZC3H12C							PLCG2																																		
							KIAA1715						TWSG1								PRKAB1																																		
							DIP2A						IRAK1								U2AF1L4																																		
							A2MP1						RORC								NEK8																																		
							LASP1						OSM								PIK3R2																																		
							KLF13						HNRNPF								MRPS18B																																		
							CD320						TNFSF10								ABHD17B																																		
							MYBL1						MAPK8								ZFAND1																																		
							CTSD						MSN								TNFAIP8L2																																		
							RAP1B						SLC29A2																																										
							PON2						VEGFA																																										
							GALNT1						POMC																																										
							RALGDS						YES1																																										
							KEAP1						CXCL10																																										
							LINC00152						IRAK2																																										
							ZNF699						IL2RB																																										
							ARHGAP10						TBK1																																										
							TRAK1						IL31																																										
							GSTP1						TXLNA																																										
							SLC20A1						DUSP3																																										
							SGPP1						PITPNA																																										
							RGS3						TNIP2																																										
							RMND5A						GRB2																																										
							HCST						SOCS5																																										
							RPTOR						RIPK2																																										
							SH3BP2						IL18BP																																										
							GATS						CBL																																										
							EBP						JAK1																																										
							ZBP1						RBX1																																										
							TBC1D19						DUSP6																																										
							A2M						IL7																																										
							SH3BGRL3						IL9																																										
							SLAMF6						MAP2K3																																										
							BATF						CFL1																																										
							MEGF9						FOXO1																																										
							PTP4A2						CA2																																										
							GNG2						SPRED2																																										
							IKBKG						PPP2R1A																																										
							MT2A						FOXO3																																										
							LYST						STAT1																																										
							CD151						TNFRSF1B																																										
							OTUD7B						IL26																																										
							IVD						SERPINB6																																										
							DNAJC21						STAT3																																										
							FBXO6						CCR5																																										
							PI4K2A						STX3																																										
							CALHM2						HNRNPA2B1																																										
							RP11-162A12.2						ALCAM																																										
							MAD2L2						STAT4																																										
							CD58						RPS27A																																										
							SLC35B2						MAPK11																																										
							TNFRSF1A						CCND3																																										
							USP11						SWAP70																																										
							SLC30A4						PTAFR																																										
							AC093673.5						PPP2CA																																										
							BHLHE40						BTRC																																										
							RRAS2						IRS2																																										
							PPP1R18						CAPG																																										
							KIF21B						CCL3																																										
							ADAM8						CCL4																																										
							LYAR						IGF2R																																										
							CLIC1						RNH1																																										
							PLK1S1						IL20RB																																										
							PRDM1						CKAP4																																										
							HCFC2						IL24																																										
							TESK1						MAPK9																																										
							UAP1						FGL2																																										
							MAP2K3						CXCL11																																										
							NPC1						IL12A																																										
							ANXA4						PTPN9																																										
							GEMIN7						IL1RN																																										
							YIPF2						IL1RAP																																										
							ITGB2						HIST1H3A																																										
							ARHGAP25						PIK3R3																																										
							GALNT10						CAPZA1																																										
							SPATA20						JAK2																																										
							ERV3-1						CCL22																																										
							A2M-AS1						IL2RG																																										
							FHOD1						PLEC																																										
							C5orf56						MTAP																																										
							CCDC92						CRKL																																										
							RAP1GAP2						IL10RB																																										
							MSN						PRKACA																																										
							SCYL2						SHC1																																										
							STK11IP						STXBP2																																										
							CDK2AP2						PRNP																																										
							PTPN22						PELI2																																										
							PLEKHA2						NFIL3																																										
							DYRK1A						PSMD9																																										
							SIRT2						ANXA4																																										
							DNAJC1						IRF9																																										
							APEX2						CDKN1C																																										
							FBXL6						IKZF2																																										
							UBE2Q1						PTPN4																																										
							TSEN54						ATF1																																										
							ARAP2						IL18RAP																																										
							SDF2L1						POU2F1																																										
							SH2D3C						SNX9																																										
							SNX11						P4HA1																																										
							CCZ1B						MAP2K7																																										
							LTBP4						CTSZ																																										
							H6PD						P4HB																																										
							FLNA						CD9																																										
							ABHD17A						NT5E																																										
							MAP4K5						PTPN23																																										
							DUSP22						NDRG1																																										
							FBXW5						ATF2																																										
							SLC9A3R1						DUSP7																																										
							TRAPPC10						IKZF4																																										
							THEMIS2						ARF1																																										
							ALKBH4						MAPK1																																										
							TAPBPL						CYFIP1																																										
							WSB2						CCR2																																										
							GABARAPL1						BRWD1																																										
							CNNM3						CCND1																																										
							GSAP						AIP																																										
							ELF4						SLC39A8																																										
							GPAA1						PSMB10																																										
							CTDSP1						IFITM3																																										
							APOBEC3D						RELA																																										
							CDC42EP3						GBP4																																										
							PREX1						RHOH																																										
							SYT11						SELP																																										
							ARHGAP18						PIK3R1																																										
							FAF1						MAPK3																																										
							MMAA						VAMP2																																										
							GLTSCR1L						FYN																																										
							DNASE2						CASP1																																										
							C20orf24						S1PR1																																										
							TNFRSF1B						ITGA6																																										
							PRKCB						CNN2																																										
							LEMD2						LCK																																										
							FAM228B						INPP5D																																										
							NCOA1						ANXA1																																										
							UBE2E3						CDC42SE2																																										
							SMUG1						PDCD4																																										
							SASH3						IL7R																																										
							GALNT2						IL22RA1																																										
							ZNF276						IL20																																										
							ZNF600						S100A12																																										
							CDCA4						AGER																																										
							MYO1G						RHOU																																										
							CYBA						FSCN1																																										
							GTF3C1						IL1F10																																										
							LTB4R						FPR1																																										
							GATAD1						IL5RA																																										
							CYC1						IL12B																																										
							RAB1B						CXCL8																																										
							RUSC1						IL1B																																										
							CYTH4						IL1A																																										
							CDC16						CXCL2																																										
							NFATC3						CSF3																																										
							SRRT						IL6																																										
							NFATC2						SYK																																										
							PGP						HCK																																										
							POP7						IL37																																										
							PTTG1						CSF3R																																										
							TMEM181						IL36RN																																										
							FAM53B						CRLF1																																										
							NADK						CNTF																																										
							KIF21A						IFNL1																																										
							MAST3						IFNLR1																																										
							CCND3						IL1RAPL1																																										
							SRGN						IL25																																										
							TPP1						IL27																																										
							RIPK2						IL22RA2																																										
													HMOX1																																										
													SEM1																																										
													PSMB11																																										
													UBE2V1																																										
													FLT3																																										
													IL36B																																										
													IL36A																																										
													IL36G																																										
													IL1RL2																																										
													IFNL3																																										
													IFNL2																																										
													LIFR																																										
													OSMR																																										
													CTF1																																										
													HGF																																										
													NDN																																										
													IRS1																																										
													BLNK																																										
													IGHE																																										
													IGHG4																																										
													IGHG1																																										
													CCL11																																										
													FN1																																										
													LAMA5																																										
													COL1A2																																										
													F13A1																																										
													RAG2																																										
													RAG1																																										
													CSF1R																																										
													IL34																																										
													SDC1																																										
													IL19																																										
													RPS6KA2																																										
													MAOA																																										
													IL17RE																																										
													FCER2																																										
													OPRM1																																										
													OPRD1																																										
													HIST2H3A																																										
													TEC																																										
													BOLA2																																										
													CRLF2																																										
													TSLP																																										
													CA1																																										
													MAPK10																																										
													ITGAM																																										
													VCAM1																																										
													ITGAX																																										
													PTPN5																																										
													PTPN20																																										
													PTPN14																																										
													ALOX15																																										
													VAMP7																																										
													IL11																																										
													SNAP25																																										
													MIF																																										
													IL31RA																																										
													IL17C																																										
													TWIST1																																										
													SOX2																																										
													NANOG																																										
													BIRC5																																										
													IL13RA2																																										
													SERPINB2																																										
													IL17RC																																										
													PRTN3																																										
													MEF2C																																										
													GSTA2																																										
													CD36																																										
													PTPRZ1																																										
													MMP9																																										
													FGF2																																										
													MMP3																																										
													LCN2																																										
													MMP2																																										
													LBP																																										
													MMP1																																										
													gene																																										
													A2M																																										
													ACVR1B																																										
													ACVRL1																																										
													CCL7																																										
													CD14																																										
													CXCL3																																										
													CXCL9																																										
													DNTT																																										
													INHBE																																										
													ITGB3																																										
													LEPR																																										
													LTBR																																										
													PDGFC																																										
													PF4																																										
													PLA2G2A																																										
													REG1A																																										
													TLR2																																										
													TNFRSF21																																										
													AKAP2																																										
													AMACR																																										
													APLP1																																										
													BMP2																																										
													BMPR2																																										
													CCDC164																																										
													CDC6																																										
													CDCP1																																										
													COCH																																										
													COL6A1																																										
													ECM1																																										
													EMP1																																										
													ENPP1																																										
													ETV4																																										
													F2RL2																																										
													GATA1																																										
													GPR83																																										
													GUCY1B3																																										
													IRF6																																										
													ITIH5																																										
													MAP6																																										
													METTL20																																										
													MYO1E																																										
													NRP1																																										
													PENK																																										
													PTCH1																																										
													PTH1R																																										
													S100A1																																										
													SCN9A																																										
													SERPINC1																																										
													SH3BGRL2																																										
													SHE																																										
													SMPDL3A																																										
													SPP1																																										
													SPRY4																																										
													ST3GAL4																																										
													TGM2																																										
													TLR7																																										
													WLS																																										
